State,State Code,Year,Month,Age Groups Code,Deaths,,,,,,,,,,,,,,,,,,
Alabama,1,2009,Nov,F,10,,,,,,,,,,,,,,,,,,
Alabama,1,2009,Nov,G,10,,,,,,,,,,,,,,,,,,
Alabama,1,2009,Oct,F,10,,,,,,,,,,,,,,,,,,
Arizona,4,2009,Feb,G,10,,,,,,,,,,,,,,,,,,
Arizona,4,2009,Oct,D,10,,,,,,,,,,,,,,,,,,
Arkansas,5,2009,Oct,F,10,,,,,,,,,,,,,,,,,,
Arkansas,5,2009,Oct,H,10,,,,,,,,,,,,,,,,,,
California,6,2009,Mar,D,10,,,,,,,,,,,,,,,,,,
California,6,2009,Oct,A,10,,,,,,,,,,,,,,,,,,
Colorado,8,2009,Nov,G,10,,,,,,,,,,,,,,,,,,
Connecticut,9,2009,Aug,H,10,,,,,,,,,,,,,,,,,,
Connecticut,9,2009,Jun,H,10,,,,,,,,,,,,,,,,,,
Florida,12,2009,Aug,C,10,,,,,,,,,,,,,,,,,,
Florida,12,2009,Aug,D,10,,,,,,,,,,,,,,,,,,
Florida,12,2009,May,F,10,,,,,,,,,,,,,,,,,,
Florida,12,2009,Oct,C,10,,,,,,,,,,,,,,,,,,
Georgia,13,2009,Aug,G,10,,,,,,,,,,,,,,,,,,
Georgia,13,2009,May,G,10,,,,,,,,,,,,,,,,,,
Georgia,13,2009,Nov,E,10,,,,,,,,,,,,,,,,,,
Georgia,13,2009,Sep,D,10,,,,,,,,,,,,,,,,,,
Georgia,13,2009,Sep,E,10,,,,,,,,,,,,,,,,,,
Hawaii,15,2009,May,I,10,,,,,,,,,,,,,,,,,,
Idaho,16,2009,Dec,I,10,,,,,,,,,,,,,,,,,,
Illinois,17,2009,Aug,E,10,,,,,,,,,,,,,,,,,,
Illinois,17,2009,Feb,F,10,,,,,,,,,,,,,,,,,,
Illinois,17,2009,Jun,E,10,,,,,,,,,,,,,,,,,,
Illinois,17,2009,Oct,D,10,,,,,,,,,,,,,,,,,,
Indiana,18,2009,Apr,F,10,,,,,,,,,,,,,,,,,,
Indiana,18,2009,Apr,G,10,,,,,,,,,,,,,,,,,,
Indiana,18,2009,Mar,F,10,,,,,,,,,,,,,,,,,,
Iowa,19,2009,Jun,H,10,,,,,,,,,,,,,,,,,,
Iowa,19,2009,Nov,H,10,,,,,,,,,,,,,,,,,,
Iowa,19,2009,Oct,F,10,,,,,,,,,,,,,,,,,,
Kansas,20,2009,Dec,H,10,,,,,,,,,,,,,,,,,,
Kansas,20,2009,May,H,10,,,,,,,,,,,,,,,,,,
Kansas,20,2009,Sep,H,10,,,,,,,,,,,,,,,,,,
Kentucky,21,2009,Apr,G,10,,,,,,,,,,,,,,,,,,
Kentucky,21,2009,Feb,F,10,,,,,,,,,,,,,,,,,,
Kentucky,21,2009,Sep,F,10,,,,,,,,,,,,,,,,,,
Louisiana,22,2009,Apr,G,10,,,,,,,,,,,,,,,,,,
Louisiana,22,2009,Sep,G,10,,,,,,,,,,,,,,,,,,
Maryland,24,2009,Aug,F,10,,,,,,,,,,,,,,,,,,
Maryland,24,2009,May,G,10,,,,,,,,,,,,,,,,,,
Maryland,24,2009,Oct,E,10,,,,,,,,,,,,,,,,,,
Massachusetts,25,2009,Apr,G,10,,,,,,,,,,,,,,,,,,
Massachusetts,25,2009,Oct,G,10,,,,,,,,,,,,,,,,,,
Michigan,26,2009,Nov,D,10,,,,,,,,,,,,,,,,,,
Minnesota,27,2009,Dec,H,10,,,,,,,,,,,,,,,,,,
Minnesota,27,2009,Oct,H,10,,,,,,,,,,,,,,,,,,
Mississippi,28,2009,May,H,10,,,,,,,,,,,,,,,,,,
Mississippi,28,2009,Sep,I,10,,,,,,,,,,,,,,,,,,
Missouri,29,2009,Nov,F,10,,,,,,,,,,,,,,,,,,
Missouri,29,2009,Oct,E,10,,,,,,,,,,,,,,,,,,
Montana,30,2009,Jun,I,10,,,,,,,,,,,,,,,,,,
Nebraska,31,2009,Aug,I,10,,,,,,,,,,,,,,,,,,
Nebraska,31,2009,May,H,10,,,,,,,,,,,,,,,,,,
Nebraska,31,2009,Oct,I,10,,,,,,,,,,,,,,,,,,
Nevada,32,2009,Dec,F,10,,,,,,,,,,,,,,,,,,
Nevada,32,2009,Feb,I,10,,,,,,,,,,,,,,,,,,
New Hampshire,33,2009,Oct,I,10,,,,,,,,,,,,,,,,,,
New Jersey,34,2009,Sep,F,10,,,,,,,,,,,,,,,,,,
New Mexico,35,2009,Jun,I,10,,,,,,,,,,,,,,,,,,
New York,36,2009,Jun,C,10,,,,,,,,,,,,,,,,,,
North Carolina,37,2009,Feb,E,10,,,,,,,,,,,,,,,,,,
North Carolina,37,2009,Jul,G,10,,,,,,,,,,,,,,,,,,
North Carolina,37,2009,Jun,F,10,,,,,,,,,,,,,,,,,,
